fighter_name,Height,Weight,Reach,Stance,DOB,win_by,date,win
Danny Abbadi,71.0,155.0,72.68125,Orthodox,1983-07-03,Other,2006-09-23,0
Danny Abbadi,71.0,155.0,72.68125,Orthodox,1983-07-03,Submission,2006-06-24,0
David Abbott,72.0,265.0,73.75,Switch,,KO,1998-05-15,1
David Abbott,72.0,265.0,73.75,Switch,,Other,1997-12-21,1
David Abbott,72.0,265.0,73.75,Switch,,KO,1996-12-07,1
David Abbott,72.0,265.0,73.75,Switch,,KO,1996-12-07,1
David Abbott,72.0,265.0,73.75,Switch,,Submission,1996-09-20,1
David Abbott,72.0,265.0,73.75,Switch,,Submission,1995-12-16,1
David Abbott,72.0,265.0,73.75,Switch,,KO,1995-07-14,1
David Abbott,72.0,265.0,73.75,Switch,,KO,1995-07-14,1
David Abbott,72.0,265.0,73.75,Switch,,KO,2003-11-21,0
David Abbott,72.0,265.0,73.75,Switch,,Submission,2003-06-06,0
David Abbott,72.0,265.0,73.75,Switch,,Submission,2003-02-28,0
David Abbott,72.0,265.0,73.75,Switch,,KO,1998-10-16,0
David Abbott,72.0,265.0,73.75,Switch,,Submission,1997-10-17,0
David Abbott,72.0,265.0,73.75,Switch,,KO,1997-05-30,0
David Abbott,72.0,265.0,73.75,Switch,,Submission,1996-12-07,0
David Abbott,72.0,265.0,73.75,Switch,,Other,1996-09-20,0
David Abbott,72.0,265.0,73.75,Switch,,Other,1995-12-16,0
David Abbott,72.0,265.0,73.75,Switch,,Submission,1995-07-14,0
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,Other,2016-10-01,1
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,KO,2015-04-04,0
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,KO,2019-09-07,0
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,KO,2019-04-20,1
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,Other,2018-09-15,1
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,KO,2017-11-25,1
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,KO,2016-12-09,0
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,Other,2016-02-21,1
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,Other,2017-09-22,1
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,Other,2018-06-23,0
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,Other,2018-02-10,0
Papy Abedi,71.0,185.0,74.0,Southpaw,1978-06-30,Other,2013-04-06,1
Papy Abedi,71.0,185.0,74.0,Southpaw,1978-06-30,Submission,2012-04-14,0
Papy Abedi,71.0,185.0,74.0,Southpaw,1978-06-30,KO,2013-08-28,0
Papy Abedi,71.0,185.0,74.0,Southpaw,1978-06-30,Submission,2011-11-05,0
Ricardo Abreu,71.0,185.0,73.0,Orthodox,1984-04-27,Other,2015-06-06,0
Ricardo Abreu,71.0,185.0,73.0,Orthodox,1984-04-27,Submission,2014-05-31,1
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,Other,2019-11-09,0
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,Other,2019-07-20,1
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,Other,2019-02-23,0
Scott Adams,72.0,225.0,73.75,Southpaw,,Submission,2000-03-10,1
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,KO,2020-02-08,0
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,KO,2019-07-20,0
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,Other,2019-05-04,0
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,KO,2018-12-15,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,Other,2020-03-07,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,Other,2019-02-09,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,Other,2018-04-14,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,KO,2019-10-05,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,Other,2019-04-13,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,KO,2018-11-03,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,Other,2018-07-06,1
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,KO,2018-02-10,1
Sam Adkins,75.0,225.0,76.8076923076923,Orthodox,1965-04-26,Submission,1996-09-20,0
Sam Adkins,75.0,225.0,76.8076923076923,Orthodox,1965-04-26,KO,1996-02-16,0
Nick Agallar,68.0,155.0,69.79285714285714,Orthodox,1979-01-13,KO,2003-11-21,0
Marcelo Aguiar,70.0,170.0,71.77173913043478,Orthodox,,KO,2000-06-09,0
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,Other,2018-07-14,1
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,Other,2017-05-13,0
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,Other,2019-03-30,0
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,Submission,2018-11-24,0
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,Other,2015-08-01,0
Kevin Aguilar,67.0,145.0,73.0,Orthodox,1988-09-07,KO,2020-02-22,0
Kevin Aguilar,67.0,145.0,73.0,Orthodox,1988-09-07,Other,2019-06-22,0
Kevin Aguilar,67.0,145.0,73.0,Orthodox,1988-09-07,Other,2019-03-30,1
Kevin Aguilar,67.0,145.0,73.0,Orthodox,1988-09-07,Other,2018-11-30,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2019-09-07,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,KO,2015-12-10,0
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2015-01-03,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2019-12-14,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2019-03-09,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2017-12-30,0
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2017-05-28,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Other,2016-11-26,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,KO,2016-04-16,0
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,KO,2015-06-06,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,Submission,2014-03-08,0
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,KO,2013-11-09,1
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,Other,2015-11-28,0
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,Other,2014-09-20,1
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,Other,2012-02-25,0
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,Other,2009-07-11,1
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,KO,2011-08-06,0
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,Other,2010-10-16,0
Yoshihiro Akiyama,70.0,170.0,73.0,Orthodox,1975-07-29,Submission,2010-07-03,0
Rostem Akman,70.0,170.0,72.0,Switch,1991-12-19,Other,2019-06-01,0
Rostem Akman,70.0,170.0,72.0,Switch,1991-12-19,Other,2019-10-05,0
Razak Al-Hassan,74.0,205.0,75.80392156862744,Orthodox,1982-05-14,Other,2009-10-24,0
Razak Al-Hassan,74.0,205.0,75.80392156862744,Orthodox,1982-05-14,Submission,2008-12-10,0
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,Other,2010-04-10,0
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,KO,2009-06-13,0
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,KO,2008-12-27,0
Heili Alateng,65.0,135.0,66.0,Orthodox,1991-12-14,Other,2019-12-21,1
Heili Alateng,65.0,135.0,66.0,Orthodox,1991-12-14,Other,2019-08-31,1
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,Submission,2013-07-27,0
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,Submission,2012-06-01,0
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,Submission,2012-12-08,0
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,Submission,2012-02-15,0
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,KO,2011-12-03,1
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,KO,2019-02-02,0
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,Other,2017-11-11,0
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,KO,2019-06-29,0
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,Submission,2018-05-12,0
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,KO,2017-07-22,1
Wes Albritton,70.0,188.0,71.77173913043478,Orthodox,,KO,1997-05-30,0
Alexandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,Submission,2019-02-17,0
Alexandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,Other,2019-10-26,0
Alexandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,Other,2017-07-29,1
Alexandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,Submission,2015-04-11,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,KO,2018-02-03,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Submission,2017-06-03,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Submission,2017-03-04,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2016-01-30,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2015-08-01,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2015-02-22,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2014-09-13,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2014-02-15,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,KO,2013-05-18,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2013-01-19,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2012-06-23,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2012-01-14,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2011-08-27,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,KO,2018-08-25,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2017-12-09,0
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Submission,2016-10-08,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,KO,2014-05-31,1
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,Other,2013-08-17,0
