R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,weight_class,total_time_fought(sec),no_of_rounds,Red_win
Kevin Lee,Charles Oliveira,0,0,0.51,0.66,0.66,0.0,0,2,2,0,1,1,Submission,3,2020-03-14,0,80,41,65,43,100,61,73,51,3,2,1,0,74,35,49,28,6,6,10,9,0,0,6,6,65,31,56,35,0,0,2,2,15,10,7,6,0,Lightweight,628,5,0
Demian Maia,Gilbert Burns,0,1,0.57,0.81,1.0,0.0,0,0,1,0,0,0,KO,1,2020-03-14,0,7,4,16,13,7,4,17,14,2,2,0,0,7,4,13,10,0,0,1,1,0,0,2,2,7,4,7,5,0,0,0,0,0,0,9,8,0,Welterweight,154,3,0
Renato Moicano,Damir Hadzovic,0,0,0.5,0.2,1.0,0.0,1,0,1,0,0,0,Submission,1,2020-03-14,0,2,1,5,1,5,4,5,1,1,1,0,0,2,1,4,0,0,0,0,0,0,0,1,1,2,1,5,1,0,0,0,0,0,0,0,0,0,Lightweight,44,3,1
Johnny Walker,Nikita Krylov,0,0,0.74,0.77,0.0,0.37,0,0,2,4,1,1,Other,3,2020-03-14,0,50,37,58,45,112,91,148,128,0,0,8,3,45,33,49,38,3,2,7,6,2,2,2,1,14,10,18,10,9,8,3,2,27,19,37,33,0,Light Heavyweight,900,3,0
Francisco Trinaldo,John Makdessi,0,0,0.43,0.54,0.0,0.0,0,0,0,0,0,0,Other,3,2020-03-14,0,126,55,123,67,126,55,124,68,1,0,0,0,100,34,54,15,22,17,26,16,4,4,43,36,124,53,121,65,2,2,2,2,0,0,0,0,0,Lightweight,900,3,1
Jussier Formiga,Brandon Moreno,0,0,0.46,0.4,0.11,0.0,1,0,3,1,1,1,Other,3,2020-03-14,0,32,15,82,33,81,61,147,94,9,1,2,0,24,9,76,29,5,4,6,4,3,2,0,0,28,12,61,20,1,0,9,4,3,3,12,9,0,Flyweight,900,3,0
Amanda Ribas,Randa Markos,0,0,0.53,0.46,0.33,1.0,2,0,4,0,1,0,Other,3,2020-03-14,0,159,85,77,36,254,173,99,56,3,1,1,1,125,57,58,22,24,18,7,3,10,10,12,11,111,45,74,33,9,8,3,3,39,32,0,0,0,Women's Strawweight,900,3,1
Elizeu Zaleski dos Santos,Aleksei Kunchenko,0,0,0.39,0.5,0.5,0.0,0,0,0,0,0,0,Other,3,2020-03-14,0,156,62,112,57,169,74,156,97,4,2,0,0,95,25,72,29,32,16,18,11,29,21,22,17,149,56,101,48,5,4,10,8,2,2,1,1,0,Welterweight,900,3,1
Rani Yahya,Enrique Barzola,0,0,0.53,0.66,0.4,0.5,0,1,3,5,1,1,Other,3,2020-03-14,0,45,24,86,57,83,58,187,148,5,2,2,1,30,12,65,39,7,5,20,18,8,7,1,0,38,19,36,10,2,1,1,1,5,4,49,46,0,Bantamweight,900,3,0
Mayra Bueno Silva,Maryna Moroz,0,0,0.6,0.56,0.0,0.25,0,0,0,1,0,0,Other,3,2020-03-14,0,146,88,247,139,150,92,298,176,0,0,8,2,92,45,160,75,22,20,71,49,32,23,16,15,130,73,203,111,16,15,18,10,0,0,26,18,0,Women's Flyweight,900,3,0
Bruno Silva,David Dvorak,0,0,0.46,0.5,0.27,0.0,0,0,2,1,0,2,Other,3,2020-03-14,0,97,45,133,67,112,60,161,92,11,3,1,0,69,25,86,35,17,12,37,24,11,8,10,8,82,35,107,51,10,8,24,14,5,2,2,2,0,Flyweight,900,3,0
Veronica Macedo,Bea Malecki,0,0,0.36,0.52,0.0,0.0,0,0,0,2,0,0,Other,3,2020-03-14,0,258,93,247,130,271,106,326,190,9,0,0,0,213,67,191,92,30,14,50,34,15,12,6,4,246,90,214,107,12,3,13,11,0,0,20,12,0,Women's Bantamweight,900,3,0
Israel Adesanya,Yoel Romero,0,0,0.36,0.44,0.0,0.0,0,0,0,0,0,0,Other,5,2020-03-07,1,132,48,89,40,132,48,89,40,0,0,3,0,81,14,58,20,22,9,13,7,29,25,18,13,132,48,82,35,0,0,7,5,0,0,0,0,1,Middleweight,1500,5,1
Weili Zhang,Joanna Jedrzejczyk,0,0,0.4,0.51,0.12,0.0,0,0,0,0,0,0,Other,5,2020-03-07,1,408,165,360,186,413,170,370,196,8,1,0,0,305,96,230,96,22,11,47,32,81,58,83,58,393,158,342,171,15,7,18,15,0,0,0,0,1,Women's Strawweight,1500,5,1
Beneil Dariush,Drakkar Klose,1,0,0.6,0.6,0.33,0.0,2,0,1,0,0,0,KO,2,2020-03-07,1,20,12,25,15,28,17,37,27,3,1,0,0,16,8,22,12,3,3,0,0,1,1,3,3,20,12,22,13,0,0,3,2,0,0,0,0,0,Lightweight,360,3,1
Neil Magny,Jingliang Li,0,0,0.53,0.25,0.57,0.66,0,0,2,0,0,0,Other,3,2020-03-07,1,139,74,62,16,188,123,65,16,7,4,3,2,118,56,50,11,15,12,3,1,6,6,9,4,96,34,53,13,20,18,9,3,23,22,0,0,0,Welterweight,900,3,1
Alex Oliveira,Max Griffin,0,0,0.51,0.46,0.2,0.66,0,0,2,2,0,1,Other,3,2020-03-07,1,77,40,50,23,98,61,96,62,5,1,3,2,56,21,40,17,13,11,8,4,8,8,2,2,67,35,47,20,8,3,3,3,2,2,0,0,0,Welterweight,900,3,1
Sean O'Malley,Jose Quinonez,0,0,0.81,0.0,0.0,0.0,0,0,0,0,0,0,KO,1,2020-03-07,1,22,18,11,0,22,18,11,0,0,0,0,0,11,9,7,0,7,6,1,0,4,3,3,0,17,13,11,0,0,0,0,0,5,5,0,0,0,Bantamweight,122,3,1
Mark Madsen,Austin Hubbard,0,0,0.25,0.54,0.66,0.0,0,0,3,0,0,0,Other,3,2020-03-07,1,58,15,75,41,65,20,79,45,12,8,0,0,57,14,48,25,0,0,14,8,1,1,13,8,42,5,67,37,5,3,8,4,11,7,0,0,0,Lightweight,900,3,1
Rodolfo Vieira,Saparbeg Safarov,0,0,0.5,0.5,1.0,0.0,1,0,2,0,0,0,Submission,1,2020-03-07,1,10,5,10,5,15,10,12,7,2,2,0,0,10,5,7,2,0,0,1,1,0,0,2,2,3,0,10,5,0,0,0,0,7,5,0,0,0,Middleweight,178,3,1
Gerald Meerschaert,Deron Winn,1,0,0.45,0.47,1.0,0.5,1,0,1,0,0,0,Submission,3,2020-03-07,1,187,86,111,53,188,86,111,53,1,1,2,1,166,66,93,37,21,20,13,11,0,0,5,5,177,81,103,47,10,5,8,6,0,0,0,0,0,Middleweight,733,3,1
Giga Chikadze,Jamall Emmers,0,0,0.31,0.42,0.0,0.33,0,0,0,1,1,0,Other,3,2020-03-07,1,122,38,127,54,125,40,130,57,0,0,6,2,88,19,94,32,23,10,23,15,11,9,10,7,120,37,118,48,1,0,5,3,1,1,4,3,0,Featherweight,900,3,1
Danaa Batgerel,Guido Cannetti,1,0,0.51,0.47,0.0,0.0,0,0,0,0,0,0,KO,1,2020-03-07,1,33,17,23,11,33,17,23,11,0,0,0,0,29,16,7,0,2,0,6,3,2,1,10,8,27,12,21,9,1,0,2,2,5,5,0,0,0,Bantamweight,181,3,1
Joseph Benavidez,Deiveson Figueiredo,0,1,0.48,0.51,0.0,1.0,0,1,0,0,0,0,KO,2,2020-02-29,0,94,46,49,25,94,46,49,25,2,0,1,1,63,28,39,18,13,8,10,7,18,10,0,0,78,36,44,20,16,10,2,2,0,0,3,3,1,Flyweight,414,5,0
Felicia Spencer,Zarah Fairn,0,0,0.62,0.46,0.5,0.0,0,0,2,0,0,0,KO,1,2020-02-29,0,64,40,28,13,98,68,29,14,2,1,0,0,61,38,27,12,1,1,1,1,2,1,0,0,24,9,26,12,1,1,2,1,39,30,0,0,0,Women's Featherweight,217,3,1
Ion Cutelaba,Magomed Ankalaev,0,0,0.45,0.66,0.0,0.0,0,0,0,0,0,0,KO,1,2020-02-29,0,11,5,12,8,11,5,12,8,0,0,0,0,8,3,10,6,1,0,1,1,2,2,1,1,11,5,12,8,0,0,0,0,0,0,0,0,0,Light Heavyweight,38,3,0
Megan Anderson,Norma Dumont,1,0,0.5,0.31,0.0,0.33,0,0,0,0,1,0,KO,1,2020-02-29,0,14,7,16,5,39,32,25,14,1,0,3,1,12,6,9,1,2,1,5,4,0,0,2,0,11,5,11,1,2,2,5,4,1,0,0,0,0,Women's Featherweight,211,3,1
Grant Dawson,Darrick Minner,0,0,0.68,0.57,0.66,1.0,2,2,6,0,0,1,Submission,2,2020-02-29,0,22,15,7,4,52,42,29,26,3,2,1,1,21,14,3,1,1,1,1,1,0,0,3,2,2,1,5,2,0,0,1,1,20,14,1,1,0,Featherweight,398,3,1
Gabriel Silva,Kyler Phillips,0,0,0.31,0.52,0.33,0.5,1,1,0,4,0,0,Other,3,2020-02-29,0,97,31,168,89,112,43,195,112,6,2,4,2,85,22,139,66,9,6,19,13,3,3,10,10,89,27,124,58,3,1,15,11,5,3,29,20,0,Bantamweight,900,3,0
Brendan Allen,Tom Breese,0,0,0.68,0.8,0.0,0.0,0,0,2,0,0,0,KO,1,2020-02-29,0,29,20,5,4,52,38,6,5,1,0,1,0,26,17,0,0,3,3,5,4,0,0,0,0,3,2,1,0,3,2,4,4,23,16,0,0,0,Middleweight,287,3,1
Marcin Tybura,Serghei Spivac,0,0,0.4,0.31,0.25,0.0,0,0,3,0,0,0,Other,3,2020-02-29,0,106,43,83,26,199,116,101,40,8,2,1,0,90,36,80,23,16,7,3,3,0,0,0,0,63,15,74,20,8,5,9,6,35,23,0,0,0,Heavyweight,900,3,1
Luis Pena,Steve Garcia,0,0,0.64,0.53,0.0,1.0,1,1,3,0,0,0,Other,3,2020-02-29,0,42,27,39,21,95,58,153,98,1,0,1,1,38,24,32,15,2,1,3,2,2,2,4,4,15,6,27,14,3,2,1,1,24,19,11,6,0,Lightweight,900,3,1
Jordan Griffin,TJ Brown,0,0,0.65,0.68,0.0,1.0,3,0,0,4,0,0,Submission,2,2020-02-29,0,23,15,47,32,28,20,119,91,1,0,7,7,21,13,39,26,2,2,7,6,0,0,1,0,17,9,22,9,3,3,10,10,3,3,15,13,0,Featherweight,518,3,1
Aalon Cruz,Spike Carlyle,0,0,0.16,0.68,0.0,0.0,0,0,0,1,0,0,KO,1,2020-02-29,0,12,2,29,20,12,2,38,29,1,0,0,0,4,2,27,19,4,0,1,0,4,0,1,1,12,2,6,2,0,0,5,4,0,0,18,14,0,Featherweight,85,3,0
Sean Brady,Ismail Naurdiev,0,0,0.51,0.42,0.44,0.0,1,0,6,0,0,0,Other,3,2020-02-29,0,91,47,87,37,191,125,88,38,9,4,1,0,71,30,64,16,3,3,10,10,17,14,13,11,73,32,79,33,1,1,8,4,17,14,0,0,0,Welterweight,900,3,1
Paul Felder,Dan Hooker,0,0,0.47,0.55,0.0,0.2,0,0,0,1,0,0,Other,5,2020-02-22,0,230,110,221,122,243,119,234,133,1,0,5,1,170,64,161,72,26,19,13,10,34,27,47,40,218,105,217,120,12,5,4,2,0,0,0,0,0,Lightweight,1500,5,0
