R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,total_time_fought(sec),no_of_rounds,Red_win,R_Height,R_Weight,R_Reach,R_KO_win_%,R_Sub_win_%,R_Stance_Orthodox,R_Stance_Southpaw,R_num_fights,R_record,R_age,B_Height,B_Weight,B_Reach,B_KO_win_%,B_Sub_win_%,B_Stance_Orthodox,B_Stance_Southpaw,B_num_fights,B_record,B_age,Bantamweight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight
Kevin Lee,Charles Oliveira,0,0,0.51,0.66,0.66,0.0,0,2,2,0,1,1,2020-03-14,0,80,41,65,43,100,61,73,51,3,2,1,0,74,35,49,28,6,6,10,9,0,0,6,6,65,31,56,35,0,0,2,2,15,10,7,6,0,628,5,0,69.0,170.0,77.0,0.25,0.375,1,0,16,0.6875,27.524179141255466,70.0,155.0,74.0,0.24,0.64,1,0,25,0.64,30.407195219614366,0,0,0,0,0,1,0,0,0,0,0,0
Jim Miller,Charles Oliveira,0,0,0.5,0.0,0.0,1.0,0,1,0,1,0,0,2018-12-15,0,2,1,1,0,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,75,3,0,68.0,155.0,71.0,0.16666666666666666,0.3,0,1,30,0.6,35.294359227088854,70.0,155.0,74.0,0.19047619047619047,0.6666666666666666,1,0,21,0.5714285714285714,29.161447531434593,0,0,0,0,0,1,0,0,0,0,0,0
Jim Miller,Charles Oliveira,0,0,0.16,0.62,1.0,0.0,2,0,0,0,0,0,2010-12-11,0,6,1,8,5,11,6,12,8,1,1,1,0,6,1,5,2,0,0,2,2,0,0,1,1,4,0,5,3,0,0,1,0,2,1,2,2,0,119,3,1,68.0,155.0,71.0,0.125,0.25,0,1,8,0.875,27.283243324640477,70.0,155.0,74.0,0.0,1.0,1,0,2,1.0,21.150331628986223,0,0,0,0,0,1,0,0,0,0,0,0
Anthony Pettis,Charles Oliveira,0,0,0.6,0.47,0.0,0.36,1,0,2,6,5,0,2016-08-27,0,87,53,86,41,114,77,105,60,0,0,11,4,67,41,57,23,20,12,28,17,0,0,1,1,53,35,63,27,1,0,12,8,33,18,11,6,0,709,3,1,70.0,155.0,72.0,0.2222222222222222,0.2222222222222222,1,0,9,0.5555555555555556,29.583085210510824,70.0,155.0,74.0,0.2,0.6,1,0,15,0.6,26.86160564556425,0,1,0,0,0,0,0,0,0,0,0,0
Frankie Edgar,Charles Oliveira,0,0,0.55,0.3,0.4,0.0,0,1,0,0,0,0,2013-07-06,1,146,81,125,38,182,114,146,59,5,2,4,0,112,53,101,27,29,23,17,7,5,5,7,4,122,61,117,31,5,4,6,5,19,16,2,2,0,900,3,1,66.0,145.0,68.0,0.14285714285714285,0.07142857142857142,1,0,14,0.6428571428571429,31.721390582968848,70.0,155.0,74.0,0.25,0.625,1,0,8,0.5,23.718488401541443,0,1,0,0,0,0,0,0,0,0,0,0
Max Holloway,Charles Oliveira,0,0,0.48,0.29,0.0,0.0,0,0,0,0,0,0,2015-08-23,0,29,14,17,5,29,14,17,5,0,0,1,0,20,6,15,3,9,8,1,1,0,0,1,1,29,14,16,4,0,0,1,1,0,0,0,0,0,99,5,1,71.0,145.0,69.0,0.3333333333333333,0.25,1,0,12,0.75,23.718488401541443,70.0,155.0,74.0,0.15384615384615385,0.6153846153846154,1,0,13,0.6153846153846154,25.8485800529785,0,1,0,0,0,0,0,0,0,0,0,0
Cub Swanson,Charles Oliveira,1,0,0.42,0.33,0.0,0.5,0,0,0,0,0,0,2012-09-22,0,21,9,18,6,21,9,22,10,0,0,2,1,13,6,17,5,3,2,0,0,5,1,1,1,20,9,15,4,0,0,0,0,1,0,3,2,0,160,3,1,68.0,145.0,70.0,0.6666666666666666,0.3333333333333333,1,0,3,0.6666666666666666,28.89039473774273,70.0,155.0,74.0,0.14285714285714285,0.7142857142857143,1,0,7,0.5714285714285714,22.93270909053574,0,1,0,0,0,0,0,0,0,0,0,0
Donald Cerrone,Charles Oliveira,0,0,0.5,0.34,0.0,0.0,0,0,0,0,0,0,2011-08-14,0,60,30,29,10,63,32,29,10,0,0,0,0,49,22,19,5,4,2,6,3,7,6,4,2,34,14,27,10,2,1,2,0,24,15,0,0,0,181,3,1,73.0,155.0,73.0,0.0,0.5,1,0,2,1.0,28.37840612743588,70.0,155.0,74.0,0.0,0.75,1,0,4,0.5,21.823856752705396,0,0,0,0,0,1,0,0,0,0,0,0
Ricardo Lamas,Charles Oliveira,0,0,0.55,0.72,1.0,1.0,1,2,2,1,1,0,2016-11-05,0,20,11,18,13,22,13,42,36,1,1,2,2,14,7,16,11,3,1,1,1,3,3,1,1,15,8,9,6,0,0,2,1,5,3,7,6,0,433,3,1,68.0,145.0,71.0,0.3,0.2,1,0,10,0.7,34.46203549696435,70.0,155.0,74.0,0.1875,0.625,1,0,16,0.5625,27.053259136053445,0,1,0,0,0,0,0,0,0,0,0,0
Jeremy Stephens,Charles Oliveira,0,0,0.6,0.64,0.0,0.28,0,3,0,4,0,0,2014-12-12,1,79,48,67,43,88,55,100,74,0,0,7,2,59,34,46,25,11,8,15,12,9,6,6,6,47,25,39,20,6,6,17,15,26,17,11,8,0,900,3,0,69.0,145.0,71.0,0.3157894736842105,0.10526315789473684,1,0,19,0.5263157894736842,28.550894268876156,70.0,155.0,74.0,0.18181818181818182,0.6363636363636364,1,0,11,0.5454545454545454,25.15315167320342,0,1,0,0,0,0,0,0,0,0,0,0
Clay Guida,Charles Oliveira,0,0,0.36,0.48,0.0,0.0,0,1,0,0,0,0,2018-06-09,0,25,9,29,14,25,9,29,14,1,0,0,0,20,4,18,6,3,3,2,1,2,2,9,7,24,8,28,14,1,1,1,0,0,0,0,0,0,138,3,0,67.0,155.0,70.0,0.16,0.32,1,0,25,0.56,36.501776217170786,70.0,155.0,74.0,0.21052631578947367,0.631578947368421,1,0,19,0.5263157894736842,28.643983107113765,0,0,0,0,0,1,0,0,0,0,0,0
Nik Lentz,Charles Oliveira,0,1,0.53,0.76,0.2,0.5,1,2,5,2,0,0,2015-05-30,0,69,37,84,64,95,58,105,84,10,2,2,1,53,24,51,36,10,8,28,25,6,5,5,3,41,19,20,13,21,12,27,23,7,6,37,28,0,670,3,0,68.0,155.0,68.0,0.14285714285714285,0.07142857142857142,1,0,14,0.6428571428571429,30.793240107599747,70.0,155.0,74.0,0.16666666666666666,0.5833333333333334,1,0,12,0.5833333333333334,25.615857957384478,0,1,0,0,0,0,0,0,0,0,0,0
Nik Lentz,Charles Oliveira,0,1,0.42,0.52,0.28,0.5,2,3,1,4,0,2,2011-06-26,0,33,14,59,31,40,19,93,61,7,2,2,1,24,9,47,23,3,1,9,6,6,4,3,2,28,12,27,11,1,0,19,12,4,2,13,8,0,408,3,0,68.0,155.0,68.0,0.0,0.16666666666666666,1,0,6,0.8333333333333334,26.867081459578227,70.0,155.0,74.0,0.0,1.0,1,0,3,0.6666666666666666,21.689699309362958,0,0,0,0,0,1,0,0,0,0,0,0
Will Brooks,Charles Oliveira,0,0,0.8,0.42,0.0,1.0,0,1,0,1,0,0,2017-04-08,0,5,4,7,3,9,8,7,3,0,0,2,2,2,1,2,0,2,2,2,1,1,1,3,2,5,4,6,2,0,0,1,1,0,0,0,0,0,150,3,0,70.0,155.0,72.0,0.5,0.0,1,0,2,0.5,30.500284057851974,70.0,155.0,74.0,0.17647058823529413,0.6470588235294118,1,0,17,0.5294117647058824,27.474896815129675,0,0,0,0,0,1,0,0,0,0,0,0
Efrain Escudero,Charles Oliveira,0,0,0.17,0.38,0.0,0.22,0,1,2,1,0,0,2010-09-15,0,76,13,91,35,89,26,118,60,1,0,9,2,68,10,52,9,2,1,17,9,6,2,22,17,65,7,86,31,7,4,5,4,4,2,0,0,0,745,3,0,69.0,155.0,70.0,0.25,0.25,1,0,4,0.75,24.665804225959466,70.0,155.0,74.0,0.0,1.0,1,0,1,1.0,20.91213371937822,0,0,0,0,0,1,0,0,0,0,0,0
Hatsu Hioki,Charles Oliveira,0,0,0.4,0.63,0.75,0.6,0,2,6,0,0,0,2014-06-28,0,27,11,38,24,51,31,52,33,4,3,5,3,21,7,23,10,6,4,11,10,0,0,4,4,17,6,14,3,3,2,17,14,7,3,7,7,0,572,3,0,71.0,145.0,70.0,0.0,0.0,1,0,6,0.5,30.9465628999911,70.0,155.0,74.0,0.2,0.6,1,0,10,0.5,24.695921203036338,0,1,0,0,0,0,0,0,0,0,0,0
