fighter_name,DOB,Height,Reach,Stance,Weight
Tom Aaron,13-Jul-78,,,,155 lbs.
Danny Abbadi,3-Jul-83,"5' 11""",,Orthodox,155 lbs.
David Abbott,,"6' 0""",,Switch,265 lbs.
Shamil Abdurakhimov,2-Sep-81,"6' 3""","76""",Orthodox,235 lbs.
Hiroyuki Abe,,"5' 6""",,Orthodox,145 lbs.
Daichi Abe,27-Nov-91,"5' 11""","71""",Orthodox,170 lbs.
Papy Abedi,30-Jun-78,"5' 11""","74""",Southpaw,185 lbs.
Ricardo Abreu,27-Apr-84,"5' 11""","73""",Orthodox,185 lbs.
Klidson Abreu,24-Dec-92,"6' 0""","74""",Orthodox,205 lbs.
Daniel Acacio,27-Dec-77,"5' 8""",,Orthodox,180 lbs.
Scott Adams,,"6' 0""",,Southpaw,225 lbs.
Juan Adams,16-Jan-92,"6' 5""","80""",Orthodox,265 lbs.
Anthony Adams,13-Jan-88,"6' 0""","77""",Orthodox,185 lbs.
Zarrukh Adashev,29-Jul-92,"5' 5""","65""",Southpaw,125 lbs.
Israel Adesanya,22-Jul-89,"6' 4""","80""",Switch,185 lbs.
Sam Adkins,26-Apr-65,"6' 3""",,Orthodox,225 lbs.
Nick Agallar,13-Jan-79,"5' 8""",,Orthodox,155 lbs.
Mariya Agapova,7-Apr-97,"5' 6""","68""",Southpaw,125 lbs.
Marcelo Aguiar,,"5' 10""",,Orthodox,170 lbs.
Edwin Aguilar,,"5' 10""",,,185 lbs.
Jessica Aguilar,8-May-82,"5' 3""","63""",Orthodox,115 lbs.
Kevin Aguilar,7-Sep-88,"5' 7""","73""",Orthodox,155 lbs.
Christian Aguilera,25-Nov-91,"5' 9""","72""",Switch,170 lbs.
Mike Aina,,"5' 9""",,Orthodox,155 lbs.
Hitomi Akano,27-Jul-74,"5' 4""",,Southpaw,135 lbs.
Omari Akhmedov,12-Oct-87,"6' 0""","73""",Orthodox,185 lbs.
Yoshihiro Akiyama,29-Jul-75,"5' 10""","73""",Orthodox,170 lbs.
Rostem Akman,19-Dec-91,"5' 10""","72""",Switch,170 lbs.
Razak Al-Hassan,14-May-82,"6' 2""",,Orthodox,205 lbs.
Mostapha Al-Turk,14-Jul-73,"6' 2""","77""",Orthodox,245 lbs.
Herdem Alacabek,7-Jun-91,"6' 2""","75""",Orthodox,205 lbs.
Javi Alanis,,"5' 6""",,,135 lbs.
Heili Alateng,14-Dec-91,"5' 5""","66""",Orthodox,135 lbs.
Brett Albee,,,,,225 lbs.
John Albert,13-Oct-86,"5' 8""","68""",Orthodox,135 lbs.
Junior Albini,15-Mar-91,"6' 3""","74""",Orthodox,264 lbs.
Wes Albritton,,"5' 10""",,Orthodox,188 lbs.
Alexandra Albu,14-Jul-90,"5' 2""","63""",Orthodox,115 lbs.
Israel Albuquerque,,,,Orthodox,185 lbs.
Juan Alcain,,,,,
Iuri Alcantara,4-Aug-80,"5' 9""","71""",Southpaw,135 lbs.
Ildemar Alcantara,18-Nov-82,"6' 2""","78""",Orthodox,185 lbs.
Alfonso Alcarez,10-Jun-70,"5' 3""",,,145 lbs.
Gilbert Aldana,25-Aug-77,"6' 1""",,Orthodox,250 lbs.
Irene Aldana,26-Mar-88,"5' 9""","68""",Orthodox,135 lbs.
Hector Aldana,17-Aug-88,"5' 11""","72""",Orthodox,170 lbs.
Jose Aldo,9-Sep-86,"5' 7""","70""",Orthodox,135 lbs.
JJ Aldrich,29-Sep-92,"5' 5""","67""",Southpaw,125 lbs.
Jim Alers,14-Oct-86,"5' 9""","71""",Orthodox,145 lbs.
John Alessio,5-Jul-79,"5' 10""","72""",Orthodox,155 lbs.
Houston Alexander,22-Mar-72,"6' 0""","72""",Orthodox,205 lbs.
Kenneth Alexander,25-Sep-77,"5' 9""",,Orthodox,155 lbs.
Marcio Alexandre Junior,5-May-89,"6' 0""","75""",Southpaw,185 lbs.
Olaf Alfonso,6-Aug-74,"6' 2""",,Orthodox,170 lbs.
Pablo Alfonso,9-May-83,"5' 8""",,,145 lbs.
Bill Algeo,9-Jun-89,"6' 0""","73""",Switch,145 lbs.
Royce Alger,,"5' 10""",,Orthodox,199 lbs.
Amir Aliakbari,10-Jun-84,"6' 3""",,,250 lbs.
Sultan Aliev,17-Sep-84,"5' 11""","74""",Orthodox,170 lbs.
John Allan,22-Feb-93,"6' 3""","75""",Orthodox,205 lbs.
George Allen,13-Jan-67,"6' 2""",,Open Stance,205 lbs.
Arnold Allen,22-Jan-94,"5' 8""","70""",Southpaw,145 lbs.
Brendan Allen,28-Dec-95,"6' 2""","75""",Orthodox,185 lbs.
Benny Alloway,19-Feb-81,"5' 11""","75""",Orthodox,170 lbs.
Ricardo Almeida,29-Nov-76,"6' 0""","74""",Orthodox,170 lbs.
Magno Almeida,6-Jun-85,"6' 0""",,,155 lbs.
Thomas Almeida,31-Jul-91,"5' 7""","70""",Southpaw,135 lbs.
Ericka Almeida,5-Mar-89,"5' 6""","68""",Orthodox,115 lbs.
Estefani Almeida,17-Oct-88,"5' 4""",,Orthodox,125 lbs.
Mauricio Alonso,27-Feb-80,"6' 2""",,,170 lbs.
Sarah Alpar,1-Jun-91,"5' 4""",,Southpaw,135 lbs.
Rico Altamirano,,"5' 10""",,,170 lbs.
Mike Altman,,"5' 10""",,Orthodox,185 lbs.
Sean Alvarez,14-Jul-71,"6' 0""",,Orthodox,235 lbs.
Eddie Alvarez,11-Jan-84,"5' 9""","69""",Orthodox,155 lbs.
Jaime Alvarez,8-Mar-88,"5' 8""","69""",Orthodox,125 lbs.
Joel Alvarez,2-Mar-94,"6' 3""","77""",Orthodox,155 lbs.
Thiago Alves,3-Oct-83,"5' 9""","70""",Orthodox,170 lbs.
Amilcar Alves,8-Aug-88,"6' 0""",,Southpaw,170 lbs.
Warlley Alves,4-Jan-91,"5' 11""","72""",Orthodox,170 lbs.
Sam Alvey,6-May-86,"6' 2""","75""",Southpaw,205 lbs.
Andre Amado,,"6' 0""",,Orthodox,154 lbs.
Adlan Amagov,30-Oct-86,"6' 2""","76""",Orthodox,170 lbs.
Maiara Amanajas dos Santos,11-Jul-87,"5' 5""",,Southpaw,115 lbs.
Chris Amarante,,,,,185 lbs.
Jimmy Ambriz,26-Jan-70,"6' 2""",,Southpaw,315 lbs.
Alen Amedovski,6-Apr-88,"5' 10""","74""",Orthodox,185 lbs.
Makwan Amirkhani,8-Nov-88,"5' 10""","72""",Southpaw,145 lbs.
Bertrand Amoussou,,"5' 8""",,Orthodox,190 lbs.
Karl Amoussou,21-Nov-85,"5' 11""",,Orthodox,185 lbs.
Eryk Anders,21-Apr-87,"6' 1""","75""",Southpaw,185 lbs.
Matt Andersen,29-May-71,"6' 2""",,Southpaw,230 lbs.
Andy Anderson,16-Jul-74,"5' 6""",,,240 lbs.
Lowell Anderson,,"5' 6""",,Orthodox,160 lbs.
Corey Anderson,22-Sep-89,"6' 3""","79""",Orthodox,205 lbs.
Derek Anderson,2-Feb-90,"6' 0""",,,155 lbs.
Megan Anderson,11-Feb-90,"6' 0""","72""",Orthodox,145 lbs.
Alex Andrade,14-May-74,"5' 11""",,Orthodox,200 lbs.
Jessica Andrade,25-Sep-91,"5' 1""","62""",Orthodox,115 lbs.
Viscardi Andrade,8-Mar-84,"5' 11""","75""",Orthodox,170 lbs.
Jermaine Andre,,"5' 7""",,Orthodox,200 lbs.
Dylan Andrews,15-Nov-79,"6' 1""","73""",Switch,185 lbs.
Reese Andy,31-Mar-73,"6' 0""",,Orthodox,205 lbs.
Julius Anglickas,23-Jul-91,"6' 3""",,Orthodox,205 lbs.
Yoji Anjo,28-Mar-67,"5' 11""",,Orthodox,205 lbs.
Magomed Ankalaev,2-Jun-92,"6' 3""","75""",Orthodox,205 lbs.
Nina Ansaroff,3-Dec-85,"5' 5""","64""",Orthodox,115 lbs.
Gadzhimurad Antigulov,9-Feb-87,"5' 11""","70""",Orthodox,205 lbs.
Adam Antolin,28-Feb-82,"5' 5""","63""",Orthodox,125 lbs.
Angelo Antonio,,,,Orthodox,205 lbs.
Zu Anyanwu,5-Aug-81,"6' 1""","77""",Orthodox,251 lbs.
Shinsho Anzai,1-Dec-85,"5' 7""","70""",Orthodox,170 lbs.
Shinya Aoki,9-May-83,"5' 11""",,Southpaw,154 lbs.
Josh Appelt,19-Jun-83,"5' 10""","73""",Southpaw,255 lbs.
Erik Apple,26-Aug-77,"6' 0""",,Orthodox,170 lbs.
Kenji Arai,5-Oct-79,"5' 10""",,Southpaw,145 lbs.
Romie Aram,2-Dec-77,"5' 10""",,Orthodox,170 lbs.
