R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country
Kamaru Usman,Gilbert Burns,-278,228,35.97122302,228,2/13/2021,"Las Vegas, Nevada, USA",USA
,,,FORMULA,35.97122302,228,,,
,,,(for winnings),,,,,
,,,,,,,,
Maycee Barber,Alexa Grasso,-107,-107,93.45794393,93.45794393,2/13/2021,"Las Vegas, Nevada, USA",USA
Kelvin Gastelum,Ian Heinisch,-205,174,48.7804878,174,2/13/2021,"Las Vegas, Nevada, USA",USA
Ricky Simon,Brian Kelleher,-253,210,39.5256917,210,2/13/2021,"Las Vegas, Nevada, USA",USA
Maki Pitolo,Julian Marquez,145,-177,145,56.49717514,2/13/2021,"Las Vegas, Nevada, USA",USA
Rodolfo Vieira,Anthony Hernandez,-487,365,20.5338809,365,2/13/2021,"Las Vegas, Nevada, USA",USA
Belal Muhammad,Dhiego Lima,-447,340,22.37136465,340,2/13/2021,"Las Vegas, Nevada, USA",USA
Polyana Viana,Mallory Martin,100,-115,100,86.95652174,2/13/2021,"Las Vegas, Nevada, USA",USA
Andre Ewell,Chris Gutierrez,112,-129,112,77.51937984,2/13/2021,"Las Vegas, Nevada, USA",USA
Gabe Green,Philip Rowe,-138,120,72.46376812,120,2/13/2021,"Las Vegas, Nevada, USA",USA
Gillian Robertson,Miranda Maverick,142,-165,142,60.60606061,2/13/2021,"Las Vegas, Nevada, USA",USA
Alistair Overeem,Alexander Volkov,150,-182,150,54.94505495,2/6/2021,"Las Vegas, Nevada, USA",USA
Cory Sandhagen,Frankie Edgar,-400,300,25,300,2/6/2021,"Las Vegas, Nevada, USA",USA
Alexandre Pantoja,Manel Kape,-125,100,80,100,2/6/2021,"Las Vegas, Nevada, USA",USA
Diego Ferreira,Beneil Dariush,-125,105,80,105,2/6/2021,"Las Vegas, Nevada, USA",USA
Michael Johnson,Clay Guida,-225,175,44.44444444,175,2/6/2021,"Las Vegas, Nevada, USA",USA
Mike Rodriguez,Danilo Marques,-240,188,41.66666667,188,2/6/2021,"Las Vegas, Nevada, USA",USA
