R_fighter;B_fighter;Format;date;location
Israel Adesanya;Paulo Costa;UFC Middleweight Title Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Dominick Reyes;Jan Blachowicz;UFC Interim Light Heavyweight Title Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Kai Kara-France;Brandon Royval;Flyweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Ketlen Vieira;Sijara Eubanks;Women's Bantamweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Hakeem Dawodu;Zubaira Tukhugov;Featherweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Brad Riddell;Alex Da Silva;Lightweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Diego Sanchez;Jake Matthews;Welterweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Shane Young;Ludovit Klein;Featherweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
William Knight;Aleksa Camur;Light Heavyweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Juan Espino;Jeff Hughes;Heavyweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Khadis Ibragimov;Danilo Marques;Light Heavyweight Bout;September 26, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Holly Holm;Irene Aldana;Women's Bantamweight Bout;October 03, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Tom Breese;Roman Kopylov;Middleweight Bout;October 03, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Charles Jourdain;Josh Culibao;Featherweight Bout;October 03, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Marlon Moraes;Cory Sandhagen;Bantamweight Bout;October 10, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Brian Ortega;Chan Sung Jung;Featherweight Bout;October 17, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Krzysztof Jotko;Makhmud Muradov;Middleweight Bout;October 17, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Jimmy Crute;Modestas Bukauskas;Light Heavyweight Bout;October 17, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Junyong Park;John Phillips;Middleweight Bout;October 17, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Khabib Nurmagomedov;Justin Gaethje;UFC Lightweight Title Bout;October 24, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Umar Nurmagomedov;Sergey Morozov;Bantamweight Bout;October 24, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Islam Makhachev;Rafael Dos Anjos;Lightweight Bout;October 24, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
Magomed Ankalaev;Ion Cutelaba;Light Heavyweight Bout;October 24, 2020;Abu Dhabi, Abu Dhabi, United Arab Emirates
