R_fighter;B_fighter;Format;date;location
Jan Blachowicz;Aleksandar Rakic;Light Heavyweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Ryan Spann;Ion Cutelaba;Light Heavyweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Davey Grant;Louis Smolka;Bantamweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Katlyn Chookagian;Amanda Ribas;Women's Flyweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Frank Camacho;Manuel Torres;Lightweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Jake Hadley;Allan Nascimento;Flyweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Viviane Araujo;Andrea Lee;Women's Flyweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Michael Johnson;Alan Patrick;Lightweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Virna Jandiroba;Angela Hill;Women's Strawweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Tatsuro Taira;Carlos Candelario;Flyweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Nick Maximov;Andre Petroski;Middleweight Bout;May 14, 2022;Las Vegas, Nevada, USA
Holly Holm;Ketlen Vieira;Women's Bantamweight Bout;May 21, 2022;Las Vegas, Nevada, USA
Eryk Anders;Junyong Park;Middleweight Bout;May 21, 2022;Las Vegas, Nevada, USA
Santiago Ponzinibbio;Michel Pereira;Welterweight Bout;May 21, 2022;Las Vegas, Nevada, USA
Alexander Volkov;Jairzinho Rozenstruik;Heavyweight Bout;June 04, 2022;Las Vegas, Nevada, USA
Glover Teixeira;Jiri Prochazka;UFC Light Heavyweight Title Bout;June 11, 2022;Kallang, Singapore
Valentina Shevchenko;Taila Santos;UFC Women's Flyweight Title Bout;June 11, 2022;Kallang, Singapore
Zhang Weili;Joanna Jedrzejczyk;Women's Strawweight Bout;June 11, 2022;Kallang, Singapore
SeungWoo Choi;Josh Culibao;Featherweight Bout;June 11, 2022;Kallang, Singapore
Jack Della Maddalena;Ramazan Emeev;Welterweight Bout;June 11, 2022;Kallang, Singapore
Brendan Allen;Jacob Malkoun;Middleweight Bout;June 11, 2022;Kallang, Singapore
Kyung Ho Kang;Batgerel Danaa;Bantamweight Bout;June 11, 2022;Kallang, Singapore
Orion Cosce;Blood Diamond;Welterweight Bout;June 11, 2022;Kallang, Singapore
Ramona Pascual;Joselyne Edwards;Women's Bantamweight Bout;June 11, 2022;Kallang, Singapore
Na Liang;Silvana Gomez Juarez;Women's Strawweight Bout;June 11, 2022;Kallang, Singapore
Rogerio Bontorin;Manel Kape;Flyweight Bout;June 11, 2022;Kallang, Singapore
Calvin Kattar;Josh Emmett;Featherweight Bout;June 18, 2022;Austin, Texas, USA
Court McGee;Jeremiah Wells;Welterweight Bout;June 18, 2022;Austin, Texas, USA
Joaquin Buckley;Albert Duraev;Middleweight Bout;June 18, 2022;Austin, Texas, USA
Tim Means;Kevin Holland;Welterweight Bout;June 18, 2022;Austin, Texas, USA
Jasmine Jasudavicius;Natalia Silva;Women's Flyweight Bout;June 18, 2022;Austin, Texas, USA
Damir Ismagulov;Guram Kutateladze;Lightweight Bout;June 18, 2022;Austin, Texas, USA
Maria Oliveira;Gloria de Paula;Women's Strawweight Bout;June 18, 2022;Austin, Texas, USA
Eddie Wineland;Cody Stamann;Bantamweight Bout;June 18, 2022;Austin, Texas, USA
Roman Dolidze;Kyle Daukaus;Middleweight Bout;June 18, 2022;Austin, Texas, USA
Phil Hawes;Deron Winn;Middleweight Bout;June 18, 2022;Austin, Texas, USA
Julian Marquez;Gregory Rodrigues;Middleweight Bout;June 18, 2022;Austin, Texas, USA
Caio Borralho;Armen Petrosyan;Middleweight Bout;July 09, 2022;Las Vegas, Nevada, USA
Curtis Blaydes;Tom Aspinall;Heavyweight Bout;July 23, 2022;London, England, United Kingdom
Jack Hermansson;Darren Till;Middleweight Bout;July 23, 2022;London, England, United Kingdom
Muhammad Mokaev;Charles Johnson;Flyweight Bout;July 23, 2022;London, England, United Kingdom
